n,kappa0,C_gamma,error_rate,power
500,0.1,0.005,1.0,0.994
500,0.2,0.005,1.0,0.947
500,0.3,0.005,1.0,0.864
500,0.4,0.005,1.0,0.701
500,0.5,0.005,1.0,0.46
500,0.6,0.005,1.0,0.174
500,0.7,0.005,1.0,0.041
500,0.8,0.005,1.0,0.001
500,0.9,0.005,1.0,0.0
500,1.0,0.005,1.0,0.0
500,1.1,0.005,1.0,0.0
500,1.2,0.005,1.0,0.0
500,1.3,0.005,1.0,0.0
500,1.4,0.005,1.0,0.0
500,1.5,0.005,1.0,0.0
500,1.6,0.005,1.0,0.0
500,1.7,0.005,0.918,0.0
500,1.8,0.005,0.168,0.0
500,1.9,0.005,0.0,0.0
500,2.0,0.005,0.0,0.0
500,2.1,0.005,0.0,0.0
500,2.2,0.005,0.0,0.0
500,2.3,0.005,0.0,0.0
500,2.4,0.005,0.0,0.0
500,2.5,0.005,0.0,0.0
500,2.6,0.005,0.0,0.0
500,2.7,0.005,0.0,0.0
500,2.8,0.005,0.0,0.0
500,2.9,0.005,0.0,0.0
500,3.0,0.005,0.0,0.0
500,0.1,0.01,1.0,0.957
500,0.2,0.01,1.0,0.873
500,0.3,0.01,1.0,0.714
500,0.4,0.01,1.0,0.505
500,0.5,0.01,1.0,0.32
500,0.6,0.01,1.0,0.15
500,0.7,0.01,1.0,0.048
500,0.8,0.01,1.0,0.011
500,0.9,0.01,1.0,0.002
500,1.0,0.01,1.0,0.0
500,1.1,0.01,1.0,0.0
500,1.2,0.01,1.0,0.0
500,1.3,0.01,1.0,0.0
500,1.4,0.01,1.0,0.0
500,1.5,0.01,1.0,0.0
500,1.6,0.01,1.0,0.0
500,1.7,0.01,1.0,0.0
500,1.8,0.01,1.0,0.0
500,1.9,0.01,1.0,0.0
500,2.0,0.01,1.0,0.0
500,2.1,0.01,1.0,0.0
500,2.2,0.01,1.0,0.0
500,2.3,0.01,0.978,0.0
500,2.4,0.01,0.558,0.0
500,2.5,0.01,0.043,0.0
500,2.6,0.01,0.0,0.0
500,2.7,0.01,0.0,0.0
500,2.8,0.01,0.0,0.0
500,2.9,0.01,0.0,0.0
500,3.0,0.01,0.0,0.0
500,0.1,0.05,1.0,0.986
500,0.2,0.05,1.0,0.959
500,0.3,0.05,1.0,0.891
500,0.4,0.05,1.0,0.828
500,0.5,0.05,1.0,0.721
500,0.6,0.05,1.0,0.554
500,0.7,0.05,1.0,0.43
500,0.8,0.05,1.0,0.3
500,0.9,0.05,1.0,0.18
500,1.0,0.05,1.0,0.054
500,1.1,0.05,1.0,0.028
500,1.2,0.05,1.0,0.004
500,1.3,0.05,1.0,0.0
500,1.4,0.05,1.0,0.0
500,1.5,0.05,1.0,0.0
500,1.6,0.05,1.0,0.0
500,1.7,0.05,1.0,0.0
500,1.8,0.05,1.0,0.0
500,1.9,0.05,1.0,0.0
500,2.0,0.05,1.0,0.0
500,2.1,0.05,1.0,0.0
500,2.2,0.05,1.0,0.0
500,2.3,0.05,1.0,0.0
500,2.4,0.05,1.0,0.0
500,2.5,0.05,0.999,0.0
500,2.6,0.05,0.973,0.0
500,2.7,0.05,0.624,0.0
500,2.8,0.05,0.065,0.0
500,2.9,0.05,0.0,0.0
500,3.0,0.05,0.0,0.0
500,0.1,0.1,1.0,0.986
500,0.2,0.1,1.0,0.946
500,0.3,0.1,1.0,0.89
500,0.4,0.1,1.0,0.795
500,0.5,0.1,1.0,0.691
500,0.6,0.1,1.0,0.579
500,0.7,0.1,1.0,0.443
500,0.8,0.1,1.0,0.261
500,0.9,0.1,1.0,0.139
500,1.0,0.1,1.0,0.055
500,1.1,0.1,1.0,0.013
500,1.2,0.1,1.0,0.005
500,1.3,0.1,1.0,0.0
500,1.4,0.1,1.0,0.0
500,1.5,0.1,1.0,0.0
500,1.6,0.1,1.0,0.0
500,1.7,0.1,1.0,0.0
500,1.8,0.1,1.0,0.0
500,1.9,0.1,1.0,0.0
500,2.0,0.1,1.0,0.0
500,2.1,0.1,1.0,0.0
500,2.2,0.1,1.0,0.0
500,2.3,0.1,1.0,0.0
500,2.4,0.1,1.0,0.0
500,2.5,0.1,1.0,0.0
500,2.6,0.1,0.971,0.0
500,2.7,0.1,0.683,0.0
500,2.8,0.1,0.078,0.0
500,2.9,0.1,0.0,0.0
500,3.0,0.1,0.0,0.0
500,0.1,0.5,1.0,0.99
500,0.2,0.5,1.0,0.951
500,0.3,0.5,1.0,0.876
500,0.4,0.5,1.0,0.791
500,0.5,0.5,1.0,0.643
500,0.6,0.5,1.0,0.542
500,0.7,0.5,1.0,0.398
500,0.8,0.5,1.0,0.262
500,0.9,0.5,1.0,0.127
500,1.0,0.5,1.0,0.073
500,1.1,0.5,1.0,0.017
500,1.2,0.5,1.0,0.004
500,1.3,0.5,1.0,0.001
500,1.4,0.5,1.0,0.001
500,1.5,0.5,1.0,0.0
500,1.6,0.5,1.0,0.0
500,1.7,0.5,1.0,0.0
500,1.8,0.5,1.0,0.0
500,1.9,0.5,1.0,0.0
500,2.0,0.5,1.0,0.0
500,2.1,0.5,1.0,0.0
500,2.2,0.5,1.0,0.0
500,2.3,0.5,1.0,0.0
500,2.4,0.5,1.0,0.0
500,2.5,0.5,1.0,0.0
500,2.6,0.5,0.977,0.0
500,2.7,0.5,0.69,0.0
500,2.8,0.5,0.12,0.0
500,2.9,0.5,0.0,0.0
500,3.0,0.5,0.0,0.0
